Run 1:Time(s),Run 1:Position(m),Run 1:Velocity(m/s),Run 1:Acceleration(m/s^2),Run 2:Time(s),Run 2:Position(m),Run 2:Velocity(m/s),Run 2:Acceleration(m/s^2),Run 3:Time(s),Run 3:Position(m),Run 3:Velocity(m/s),Run 3:Acceleration(m/s^2),Run 4:Time(s),Run 4:Position(m),Run 4:Velocity(m/s),Run 4:Acceleration(m/s^2),Run 5:Time(s),Run 5:Position(m),Run 5:Velocity(m/s),Run 5:Acceleration(m/s^2)
0.000000000000,0.634378500000,0.003620555556,-0.011803858025,0.000000000000,0.001372000000,-0.001905555556,-0.046381751543,0.000000000000,0.487746000000,6.663251388890,-142.048514082000,0.000000000000,0.473340000000,0.048591666667,-1.432276427470,0.000000000000,0.493062500000,-0.003334722222,0.287487461420
0.050000000000,0.634550000000,0.003382361111,-0.014318132716,0.020000000000,0.001372000000,-0.003453819444,-0.007211998457,0.020000000000,0.674509500000,3.619245486110,-124.430528164000,0.020000000000,0.475569500000,-0.008932291667,3.010314621910,0.020000000000,0.492891000000,0.002977430556,0.212224633488
0.100000000000,0.634893000000,0.001429166667,-0.006272453704,0.040000000000,0.001200500000,-0.003144166667,0.038805844907,0.040000000000,0.666449000000,0.982123333333,-94.835430844900,0.040000000000,0.472825500000,-0.044875833333,16.214392071800,0.040000000000,0.493062500000,0.008575000000,0.065007233796
0.150000000000,0.634550000000,0.001715000000,0.016382484568,0.060000000000,0.001200500000,-0.000952777778,0.042114101080,0.060000000000,0.669536000000,-0.034776388889,-69.330231385000,0.060000000000,0.472311000000,0.331090277778,38.289459201400,0.060000000000,0.493405500000,0.007622222222,-0.147713638117
0.200000000000,0.634893000000,0.004668611111,0.011936188272,0.080000000000,0.001200500000,-0.000476388889,0.000694733796,0.080000000000,0.667992500000,-1.115226388890,-66.549906732300,0.080000000000,0.474883500000,1.301018055560,56.345458236900,0.080000000000,0.493577000000,-0.002143750000,-0.157307581019
0.250000000000,0.635236000000,0.004096944444,-0.012068518519,0.100000000000,0.001200500000,-0.000952777778,-0.038971257716,0.100000000000,0.663705000000,-3.386648611110,-34.415524305600,0.100000000000,0.466994500000,4.095991666670,3.833739583330,0.100000000000,0.493062500000,-0.002143750000,-0.001984953704
0.300000000000,0.635407500000,0.001810277778,-0.010004166667,0.120000000000,0.001200500000,-0.003096527778,-0.030105131173,0.120000000000,0.481229000000,-3.360685416670,31.382779706800,0.120000000000,0.718928000000,3.189185416670,-114.530174576000,0.120000000000,0.493405500000,0.002143750000,-0.003969907407
0.350000000000,0.635236000000,0.002286666667,0.005452006173,0.140000000000,0.001029000000,-0.003096527778,0.019187885802,0.140000000000,0.479685500000,-1.101411111110,51.930027970700,0.140000000000,0.721843500000,-3.026498611110,-118.127572338000,0.140000000000,0.493405500000,-0.003096527778,0.018195408951
0.400000000000,0.635579000000,0.003715833333,-0.000211728395,0.160000000000,0.001029000000,-0.001190972222,0.020511188272,0.160000000000,0.478485000000,-0.388018750000,29.787538580200,0.160000000000,0.476941500000,-4.205322916670,-1.610459104940,0.160000000000,0.493062500000,0.000714583333,0.104540895062
0.450000000000,0.635750500000,0.002858333333,-0.015614969136,0.180000000000,0.001029000000,-0.001190972222,-0.023157793210,0.180000000000,0.474540500000,-0.187935416667,13.040484182100,0.180000000000,0.468709500000,-1.509200000000,56.040205439800,0.180000000000,0.493405500000,0.004763888889,0.040691550926
0.500000000000,0.635922000000,0.001048055556,-0.013656481481,0.200000000000,0.001029000000,-0.003096527778,-0.030105131173,0.200000000000,0.467166000000,-0.075745833333,5.058654513890,0.200000000000,0.468538000000,-0.384684027778,40.918166473800,0.200000000000,0.493405500000,0.003096527778,-0.043668981482
0.550000000000,0.635750500000,0.000857500000,-0.001535030864,0.220000000000,0.000857500000,-0.003334722222,0.003308256173,0.220000000000,0.472825500000,-0.015720833333,1.379873649690,0.220000000000,0.468538000000,0.002381944444,17.707441165100,0.220000000000,0.493577000000,-0.000476388889,0.016541280864
0.600000000000,0.635922000000,0.002000833333,-0.006669444444,0.240000000000,0.000857500000,-0.001905555556,-0.000000000000,0.240000000000,0.468366500000,-0.039063888889,-0.522042824074,0.240000000000,0.467852000000,0.065741666667,3.488225308640,0.240000000000,0.493234000000,0.002143750000,0.158465470679
0.650000000000,0.636093500000,0.000857500000,-0.021913888889,0.260000000000,0.000857500000,-0.003334722222,-0.003308256173,0.260000000000,0.470939000000,-0.055975694444,-1.235964506170,0.260000000000,0.473683000000,0.017150000000,-1.508564814810,0.260000000000,0.493577000000,0.008336805556,0.244149305556
0.700000000000,0.636093500000,-0.001619722222,-0.014027006173,0.280000000000,0.000686000000,-0.003096527778,0.030105131173,0.280000000000,0.467166000000,-0.120526388889,-0.451973958333,0.280000000000,0.469910000000,-0.088846527778,-0.941860532407,0.280000000000,0.493748500000,0.010480555556,0.394674961420
0.750000000000,0.635750500000,-0.001143333333,0.002911265432,0.300000000000,0.000686000000,-0.001190972222,0.023157793210,0.300000000000,0.463393000000,-0.067170833333,0.185593171296,0.300000000000,0.465622500000,-0.018102777778,0.202465277778,0.300000000000,0.493920000000,0.017388194444,0.733771219136
0.800000000000,0.635922000000,0.000190555556,-0.004922685185,0.320000000000,0.000686000000,-0.001190972222,-0.020511188272,0.320000000000,0.465965500000,-0.078127777778,-0.532960069444,0.320000000000,0.471110500000,-0.018102777778,-1.012988040120,0.320000000000,0.493748500000,0.050259027778,0.565711805556
