Time(s),Position(m),Velocity(m/s),Acceleration(m/s^2)
69.9,0.0066885,-0.05359375,0.5640576775
69.92,0.005831,0.0104805556,0.7817409336
69.94,0.0084035,0.0164354167,-0.5978018904
69.96,0.0077175,-0.0266777778,-1.424535108
69.98,0.0073745,-0.0776513889,-0.6464332562
70,0.0029155,-0.0543083333,0.3387654321
70.02,0.005488,-0.0381111111,0.2123900463
70.04,0.0018865,-0.0426368056,-0.1233979552
70.06,0.003773,-0.0476388889,-0.2917881944
70.08,0.000343,-0.0688381944,0.1948562886
70.1,-0.0001715,-0.0371583333,0.5951552855
70.12,-0.0005145,-0.0314416667,0.4098929398
70.14,-0.001372,-0.025725,0.3738329475
70.16,-0.001715,-0.0164354167,0.3063445216
70.18,-0.0018865,-0.0126243056,0.2378636188
70.2,-0.0022295,-0.0083368056,0.2305854552
70.22,-0.0022295,-0.0038111111,0.2372019676
70.24,-0.002401,0.0011909722,0.2391869213
70.26,-0.0022295,0.0080986111,0.1396084105
70.28,-0.0018865,0.00643125,0.0526012731
70.3,-0.002058,0.0080986111,0.0850221836
70.32,-0.0015435,0.0092895833,0.6083883102
70.34,-0.001715,0.0097659722,3.2321662809
70.36,-0.0012005,0.0316798611,12.6511024306
70.38,-0.000686,0.3553861111,24.5241030093
70.4,-0.002058,1.0902159722,25.5880381944
70.42,0.013034,2.7635319444,-29.5910281636
70.46,0.002744,-2.7806819444,-24.7632899306
70.48,-0.0005145,-0.9604,27.6950665509
70.5,-0.0001715,-0.3015541667,23.8836246142
70.52,0.000343,0.0061930556,11.7807002315
70.54,0.0001715,0.0088131944,2.6492515432
70.56,0.000686,0.0069076389,0.4939226466
70.58,0.0005145,0.0061930556,0.317261767
70.6,0.000686,0.0173881944,0.5329600694
70.62,0.000686,0.0440659722,0.0049623843
70.64,0.0032585,0.0345381944,-1.1413483796
70.66,0.00343,-0.0312034722,-0.9537702546
70.68,0.0005145,-0.0316798611,0.4423138503
70.7,0.0012005,0.0090513889,0.8985223765
70.72,0.001372,0.0316798611,0.1955179398
70.74,0.0036015,0.0088131944,-0.2461342593
70.76,0.0015435,-0.0088131944,0.5392457562
70.78,0.0015435,0.0431131944,0.8135001929
70.8,0.0042875,0.0533555556,-0.1442399691
70.82,0.0046305,0.02358125,-0.5822530864
70.84,0.0046305,0.0135770833,-0.2941039738
70.86,0.0049735,0.0135770833,0.0320900849
70.88,0.005145,0.0185791667,0.198826196
70.9,0.0056595,0.025725,0.133984375
70.92,0.0063455,0.0250104167,0.0076089892
70.94,0.0066885,0.0231048611,0.0036390818
70.96,0.007203,0.02358125,0.0711275077
70.98,0.007546,0.0276305556,0.0823755787
71,0.0084035,0.0283451389,0.0327517361
71.02,0.0087465,0.0262013889,0.0883304398
71.04,0.009261,0.03215625,0.1214130015
71.06,0.0101185,0.0338236111,0.0357291667
71.08,0.010633,0.0343,-0.0602102623
71.1,0.011662,0.0285833333,-0.0340750386
71.12,0.011662,0.0276305556,0.1915480324
71.14,0.012348,0.0435895833,0.0913078704
71.16,0.0138915,0.0383493056,-0.3096527778
71.18,0.014063,0.0245340278,-0.4135320216
71.2,0.014749,0.0157208333,-0.2259538966
71.22,0.0145775,0.0128625,0.0949469522
71.24,0.0149205,0.025725,0.138285108
71.26,0.0159495,0.0238194444,-0.0681500772
71.28,0.0159495,0.0188173611,-0.1081799769
71.3,0.0166355,0.0161972222,-0.015548804
71.32,0.016464,0.0188173611,0.0569020062
71.34,0.0173215,0.0242958333,-0.1104957562
71.36,0.017836,0.0131006944,-0.2292621528
71.38,0.0176645,0.0090513889,-0.0972627315
71.4,0.0180075,0.0121479167,-0.0618643904
71.42,0.0183505,0.0083368056,-0.0784056713
71.44,0.0183505,0.0052402778,0.0370524691
71.46,0.0183505,0.0097659722,0.1422550154
71.48,0.0186935,0.0166736111,0.018195409
71.5,0.0193795,0.0092895833,-0.0780748457
71.52,0.018865,0.0088131944,0.0056240355
71.54,0.019551,0.01500625,-0.1154581404
71.56,0.019894,0.0040493056,-0.2090817901
71.58,0.019551,0.0002381944,-0.0363908179
71.6,0.0197225,0.0035729167,0.1101649306
71.62,0.0197225,0.0073840278,0.1455632716
71.64,0.0200655,0.0097659722,0.1257137346
71.66,0.0200655,0.0128625,0.0608719136
71.68,0.02058,0.0152444444,-0.1310069444
71.7,0.020923,0.00643125,-0.2603597608
71.72,0.0207515,0.0009527778,-0.2044502315
71.74,0.020923,-0.0026201389,-0.0923003472
71.76,0.02058,-0.0026201389,0.0201803627
71.78,0.0207515,0.0007145833,0.0158796296
71.8,0.0207515,-0.0019055556,-0.0036390818
71.82,0.02058,-0.0004763889,0.0109172454
71.84,0.0207515,-0.0004763889,-0.0125713735
71.86,0.02058,-0.0009527778,-0.0261352238
71.88,0.0207515,-0.0026201389,0
71.9,0.0204085,-0.0019055556,0.0612027392
71.92,0.02058,0.0028583333,-0.0016541281
71.94,0.0207515,-0.0019055556,-0.0688117284
71.96,0.0204085,-0.0028583333,-0.011248071
71.98,0.02058,-0.0014291667,0.0122405478
72,0.0204085,-0.00214375,0.0261352238
72.02,0.0204085,0.0007145833,-0.0109172454
72.04,0.02058,-0.0026201389,-0.0456539352
72.06,0.020237,-0.0030965278,0.0066165123
72.08,0.0204085,-0.0014291667,0.018195409
72.1,0.020237,-0.00214375,0.0119097222
72.12,0.020237,0.0004763889,-0.064841821
72.14,0.0204085,-0.0040493056,-0.167728588
72.16,0.0200655,-0.0083368056,-0.1664052855
72.18,0.0200655,-0.0119097222,-0.1038792438
72.2,0.019551,-0.0135770833,0.0072781636
72.22,0.0193795,-0.0090513889,0.0132330247
72.24,0.0193795,-0.0121479167,-0.0148871528
72.26,0.018865,-0.0131006944,0.084691358
72.28,0.0186935,-0.0080986111,0.1396084105
72.3,0.018522,-0.0026201389,-0.0029774306
72.32,0.018865,-0.0083368056,-0.142585841
72.34,0.018179,-0.0142916667,-0.0347366898
72.36,0.0180075,-0.008575,0.0416840278
72.38,0.0180075,-0.0092895833,-0.0138946759
72.4,0.0176645,-0.0109569444,-0.004300733
72.42,0.017493,-0.0097659722,0.0119097222
72.44,0.0173215,-0.0104805556,0.0261352238
72.46,0.0169785,-0.0073840278,-0.0208420139
72.48,0.01715,-0.0100041667,-0.115788966
72.5,0.0166355,-0.0147680556,-0.0836988812
72.52,0.016464,-0.0152444444,0.0291126543
72.54,0.0159495,-0.0123861111,0.0876687886
72.56,0.0159495,-0.008575,0.0062856867
72.58,0.015778,-0.0121479167,-0.0817139275
72.6,0.015435,-0.0147680556,-0.0479697145
72.62,0.015092,-0.0138152778,-0.0132330247
72.64,0.0149205,-0.0140534722,-0.0162104552
72.66,0.0145775,-0.0154826389,0.0138946759
72.68,0.0142345,-0.0145298611,0.0694733796
72.7,0.0138915,-0.0095277778,-0.0135638503
72.72,0.014063,-0.0133388889,-0.1829465664
72.74,0.013377,-0.0195319444,-0.2319087577
72.76,0.0132055,-0.0223902778,-0.2580439815
72.78,0.012691,-0.0335854167,-0.1035484182
72.8,0.0114905,-0.02786875,0.1104957562
72.82,0.011662,-0.0252486111,0.1445707948
72.84,0.0104615,-0.0214375,0.1326610725
72.86,0.0108045,-0.0178645833,0.0138946759
72.88,0.009947,-0.0233430556,-0.0076089892
72.9,0.009604,-0.0181027778,-0.0254735725
72.92,0.0094325,-0.0221520833,-0.1147964892
72.94,0.0087465,-0.0264395833,-0.0363908179
72.96,0.008232,-0.0247722222,0.087337963
72.98,0.0077175,-0.0211993056,0.1402700617
73,0.0073745,-0.0166736111,0.0793981481
73.02,0.007203,-0.0188173611,0.0406915509
73.04,0.006517,-0.0169118056,0.084691358
73.06,0.006517,-0.0142916667,0.0843605324
73.08,0.0060025,-0.0140534722,0.0989168596
73.1,0.005831,-0.0088131944,0.042345679
73.12,0.005831,-0.0116715278,-0.0403607253
