Run 1:Time(s),Run 1:Position(m),Run 1:Velocity(m/s),Run 1:Acceleration(m/s^2),Run 2:Time(s),Run 2:Position(m),Run 2:Velocity(m/s),Run 2:Acceleration(m/s^2),Run 3:Time(s),Run 3:Position(m),Run 3:Velocity(m/s),Run 3:Acceleration(m/s^2),Run 4:Time(s),Run 4:Position(m),Run 4:Velocity(m/s),Run 4:Acceleration(m/s^2),Run 5:Time(s),Run 5:Position(m),Run 5:Velocity(m/s),Run 5:Acceleration(m/s^2),Run 6:Time(s),Run 6:Position(m),Run 6:Velocity(m/s),Run 6:Acceleration(m/s^2)
,,,,,,,,,,,,0.000000000000,0.473340000000,0.048591666667,-1.432276427470,0.000000000000,0.493062500000,-0.003334722222,0.287487461420,0.000000000000,0.495292000000,-0.003811111111,0.204847222222
,,,,,,,,,,,,0.020000000000,0.475569500000,-0.008932291667,3.010314621910,0.020000000000,0.492891000000,0.002977430556,0.212224633488,0.020000000000,0.495120500000,0.000952777778,0.148474537037
,,,,,,,,,,,,0.040000000000,0.472825500000,-0.044875833333,16.214392071800,0.040000000000,0.493062500000,0.008575000000,0.065007233796,0.040000000000,0.495292000000,0.004573333333,0.050020833333
,,,,,,,,,,,,0.060000000000,0.472311000000,0.331090277778,38.289459201400,0.060000000000,0.493405500000,0.007622222222,-0.147713638117,0.060000000000,0.495463500000,0.001905555556,-0.009527777778
,,,,,,,,,,,,0.080000000000,0.474883500000,1.301018055560,56.345458236900,0.080000000000,0.493577000000,-0.002143750000,-0.157307581019,0.080000000000,0.495292000000,0.001905555556,0.030568287037
,,,,,,,,,,,,0.100000000000,0.466994500000,4.095991666670,3.833739583330,0.100000000000,0.493062500000,-0.002143750000,-0.001984953704,0.100000000000,0.495463500000,0.004763888889,0.032685570988
,,,,,,,,,,,,0.120000000000,0.718928000000,3.189185416670,-114.530174576000,0.120000000000,0.493405500000,0.002143750000,-0.003969907407,0.120000000000,0.495635000000,0.001905555556,0.132661072531
,,,,,,,,,,,,0.140000000000,0.721843500000,-3.026498611110,-118.127572338000,0.140000000000,0.493405500000,-0.003096527778,0.018195408951,0.140000000000,0.495463500000,0.005240277778,0.425441743827
,,,,,,,,,,,,0.160000000000,0.476941500000,-4.205322916670,-1.610459104940,0.160000000000,0.493062500000,0.000714583333,0.104540895062,0.160000000000,0.495635000000,0.018102777778,0.672237654321
,,,,,,,,,,,,0.180000000000,0.468709500000,-1.509200000000,56.040205439800,0.180000000000,0.493405500000,0.004763888889,0.040691550926,0.180000000000,0.495806500000,0.044542361111,0.341081211420
,,,,,,,,,,,,0.200000000000,0.468538000000,-0.384684027778,40.918166473800,0.200000000000,0.493405500000,0.003096527778,-0.043668981482,0.200000000000,0.498036000000,0.043113194444,-0.475396412037
,,,,,,,,,,,,0.220000000000,0.468538000000,0.002381944444,17.707441165100,0.220000000000,0.493577000000,-0.000476388889,0.016541280864,0.220000000000,0.498207500000,0.011433333333,-0.686793981481
,,,,,,,,,,,,0.240000000000,0.467852000000,0.065741666667,3.488225308640,0.240000000000,0.493234000000,0.002143750000,0.158465470679,0.240000000000,0.497864500000,0.003811111111,-0.337442129630
,,,,,,,,,,,,0.260000000000,0.473683000000,0.017150000000,-1.508564814810,0.260000000000,0.493577000000,0.008336805556,0.244149305556,0.260000000000,0.498207500000,0.003811111111,-0.152179783951
,,,,,,,,,,,,0.280000000000,0.469910000000,-0.088846527778,-0.941860532407,0.280000000000,0.493748500000,0.010480555556,0.394674961420,0.280000000000,0.498207500000,-0.000476388889,-0.054255401235
,,,,,,,,,,,,0.300000000000,0.465622500000,-0.018102777778,0.202465277778,0.300000000000,0.493920000000,0.017388194444,0.733771219136,0.300000000000,0.498036000000,0.000952777778,0.022826967593
,,,,,,,,,,,,0.320000000000,0.471110500000,-0.018102777778,-1.012988040120,0.320000000000,0.493748500000,0.050259027778,0.565711805556,0.320000000000,0.498207500000,0.003572916667,-0.029774305556
,,,,,,,,,,,,0.340000000000,0.467337500000,-0.106949305556,-0.443637152778,0.340000000000,0.496492500000,0.057881250000,-0.373171296296,0.340000000000,0.498379000000,-0.001190972222,-0.044661458333
,,,,,,,,,,,,0.360000000000,0.463050000000,-0.052879166667,0.721530671296,0.360000000000,0.497007000000,0.023819444444,-0.865108989197,0.360000000000,0.498036000000,-0.001190972222,0.055578703704
,,,,,,,,,,,,0.380000000000,0.465794000000,-0.020484722222,-0.268961226852,0.380000000000,0.496835500000,0.011195138889,-0.855845871914,0.380000000000,0.498207500000,0.003811111111,0.047969714506
,,,,,,,,,,,,0.400000000000,0.464936500000,-0.088131944444,-0.308660300926,0.400000000000,0.497350000000,-0.001667361111,-1.101649305560,0.400000000000,0.498379000000,0.001667361111,-0.005954861111
,,,,,,,,,,,,0.420000000000,0.459963000000,-0.066694444444,0.910762924383,0.420000000000,0.497178500000,-0.029536111111,-1.330911458330,0.420000000000,0.498207500000,0.001667361111,0.005624035494
,,,,,,,,,,,,0.440000000000,0.461506500000,-0.015244444444,0.687786458333,0.440000000000,0.496664000000,-0.074316666667,-0.652057291667,0.440000000000,0.498379000000,0.003811111111,-0.049623842593
,,,,,,,,,,,,0.460000000000,0.460992000000,-0.026201388889,-0.122074652778,0.460000000000,0.493234000000,-0.074316666667,0.882973572531,0.460000000000,0.498550500000,-0.001190972222,-0.062526041667
,,,,,,,,,,,,0.480000000000,0.460306000000,-0.035967361111,-0.371186342593,0.480000000000,0.492719500000,-0.024057638889,1.721285686730,0.480000000000,0.498207500000,-0.001429166667,0.036059992284
