Time(s),Position(m),Velocity(m/s),Acceleration(m/s^2)
78.26,0.1356565,-0.0347763889,0.3834268904
78.28,0.1332555,-0.0057166667,0.9144020062
78.3,0.1353135,0.0269159722,0.3394270833
78.32,0.135485,0.0104805556,-0.3754870756
78.34,0.1356565,-0.0052402778,-0.3738329475
78.36,0.1349705,-0.0104805556,-0.0433381559
78.38,0.1349705,-0.0014291667,0.1005709877
78.4,0.135142,-0.0011909722,-0.0138946759
78.42,0.1349705,-0.0035729167,-0.0926311728
78.44,0.1349705,-0.0057166667,-0.1336535494
78.46,0.134799,-0.0102423611,-0.0969319059
78.48,0.134456,-0.0100041667,-0.0264660494
78.5,0.134456,-0.0111951389,0.0360599923
78.52,0.1339415,-0.0095277778,0.1171122685
78.54,0.1339415,-0.0026201389,0.0205111883
78.56,0.134113,-0.0069076389,-0.1882397762
78.58,0.1335985,-0.0123861111,-0.2785551698
78.6,0.1335985,-0.0152444444,-0.4204793596
78.62,0.1335985,-0.0416840278,-0.0641801698
78.64,0.130683,-0.0178645833,0.2874874614
78.66,0.1332555,-0.0088131944,-0.2123900463
78.68,0.131369,-0.0402548611,-0.1531722608
78.7,0.1305115,-0.0262013889,0.3539834105
78.72,0.13034,-0.0131006944,0.3748254244
78.74,0.13034,-0.0097659722,0.2931114969
78.76,0.1298255,-0.0045256944,0.2600289352
78.78,0.129997,0.0059548611,0.0241502701
78.8,0.1305115,-0.0028583333,-0.2110667438
78.82,0.1298255,-0.0111951389,0.0052932099
78.84,0.129997,-0.00643125,0.6944029707
78.86,0.129311,-0.0016673611,3.4415788966
78.88,0.1284535,0.0543083333,13.8030372299
78.9,0.136171,0.248675,36.6303356481
78.92,0.124166,1.1488118056,65.3172173997
78.94,0.1246805,4.20818125,27.4439699074
79.02,0.1377145,-4.0781270833,24.909845679
79.04,0.123137,-1.2593340278,62.4717862654
79.06,0.1370285,-0.3103673611,36.5072685185
79.08,0.125881,-0.1031381944,14.2013512731
79.1,0.1284535,-0.0176263889,3.1650086806
79.12,0.128282,-0.0650270833,-0.0218344907
79.14,0.125195,-0.07074375,0.339757909
79.16,0.1243375,-0.0423986111,0.7291396605
79.18,0.124166,-0.0302506944,0.727816358
79.2,0.1233085,-0.0242958333,0.9650183256
79.22,0.122108,0.0207229167,0.5504938272
79.24,0.1250235,0.0216756944,-0.8002671682
79.26,0.124166,-0.0269159722,-1.3712721836
79.28,0.123823,-0.0697909722,-0.3556375386
79.3,0.119707,-0.0412076389,0.665621142
79.32,0.1219365,-0.0026201389,-0.0320900849
79.34,0.1212505,-0.0338236111,-1.0609577546
79.36,0.121079,-0.0828916667,-0.4846595293
79.38,0.11662,-0.077175,1.1089274691
79.4,0.1164485,-0.0033347222,1.2197540509
79.42,0.1181635,0.00214375,-0.0651726466
79.44,0.117306,-0.0281069444,-0.5385841049
79.46,0.116277,-0.0338236111,-0.3384346065
79.48,0.115934,-0.0369201389,-0.1819540895
79.5,0.114905,-0.0404930556,-0.0393682485
79.52,0.114219,-0.0397784722,0.0952777778
79.54,0.11319,-0.0338236111,0.0416840278
79.56,0.112847,-0.0307270833,-0.3202391975
79.58,0.1123325,-0.0438277778,-0.6993653549
79.6,0.1116465,-0.0783659722,-0.1392775849
79.62,0.1082165,-0.0652652778,1.0950327932
79.64,0.108388,-0.0202465278,1.5294068287
79.66,0.1071875,0.0273923611,0.464148341
79.68,0.1106175,0.0209611111,-1.5198128858
79.7,0.110103,-0.0745548611,-1.6557822145
79.72,0.105644,-0.0871791667,0.1061950231
79.74,0.105301,-0.0412076389,0.7794251543
79.76,0.1051295,-0.0333472222,0.4333815586
79.78,0.1041005,-0.0333472222,0.3347955247
79.8,0.103586,-0.0259631944,0.4631558642
79.82,0.1030715,-0.0169118056,0.58953125
79.84,0.102214,0.0145298611,-0.0744357639
79.86,0.104615,0.0007145833,-1.0682359182
79.88,0.1037575,-0.0755076389,1.5108805941
79.9,0.100156,-0.0969451389,15.1183998843
79.92,0.0989555,0.2553444444,40.1135985725
79.94,0.0986125,1.2274159722,67.4020804398
79.96,0.093639,4.2420048611,30.8303009259
80.04,0.0920955,-0.9280055556,29.5390885417
80.1,0.0951825,-3.3659256944,14.4914853395
80.12,0.0979265,-1.1857319444,46.2570302855
80.14,0.0938105,-0.4423270833,31.8171537423
80.16,0.086779,-0.0659798611,14.6400260417
80.18,0.091924,0.0004763889,2.7028452932
80.2,0.0907235,-0.0888465278,-0.6828240741
80.22,0.0862645,-0.1009944444,0.2702845293
80.24,0.085407,-0.05788125,0.9484770448
80.26,0.0848925,-0.04501875,0.7724778164
80.28,0.083006,-0.0135770833,-0.1597887731
80.3,0.08575,-0.0462097222,-1.3117235725
80.32,0.0814625,-0.0957541667,-1.098671875
80.34,0.080605,-0.0917048611,-0.5660426312
80.36,0.07889,-0.1226701389,0.290464892
80.38,0.0746025,-0.0993270833,1.7990297068
80.4,0.0735735,-0.0195319444,1.7444434799
80.42,0.075117,0.0028583333,0.0774131944
80.44,0.0742595,-0.0123861111,-1.8162326389
80.46,0.075803,-0.0862263889,-2.7346045525
80.48,0.0711725,-0.1705472222,-1.2912123843
80.5,0.0667135,-0.15220625,0.8869434799
80.52,0.064484,-0.0998034722,1.5522337963
80.54,0.063455,-0.07074375,1.1797241512
80.56,0.0619115,-0.0569284722,0.7906732253
80.58,0.061054,-0.0426368056,1.0040557485
80.6,0.060368,-0.0357291667,3.1425125386
80.62,0.059682,-0.0281069444,12.5760050154
80.64,0.058996,0.3044125,24.8370640432
80.66,0.0588245,0.9770736111,28.4860706018
80.68,0.060711,2.8773888889,-26.560003858
80.72,0.0667135,-2.9290770833,-30.1951157407
80.74,0.0553945,-1.1438097222,26.6635522762
80.76,0.054194,-0.4216041667,24.9468981481
80.78,0.053165,-0.0855118056,12.7457185571
80.8,0.051107,-0.0733638889,2.967505787
80.82,0.0502495,-0.0759840278,0.2517582948
80.84,0.048363,-0.0897993056,-0.1935329861
80.86,0.046305,-0.0883701389,0.0396990741
80.88,0.0447615,-0.0838444444,0.1181047454
80.9,0.0430465,-0.0819388889,0.1250520833
80.92,0.041503,-0.0805097222,0.194525463
80.94,0.039788,-0.0766986111,0.3658931327
80.96,0.0382445,-0.0647888889,0.4873061343
80.98,0.0372155,-0.0526409722,0.3966599151
81,0.036358,-0.0497826389,0.2845100309
81.02,0.034986,-0.0397784722,0.0836988812
81.04,0.034986,-0.04073125,-0.3248707562
81.06,0.0337855,-0.0597868056,-0.4075771605
81.08,0.032242,-0.0645506944,-0.1551572145
81.1,0.0310415,-0.06216875,4.1505381944
81.12,0.029841,-0.0616923611,24.9912287809
81.14,0.0286405,-0.0671708333,112.846272184
81.16,0.0272685,2.9440833333,225.794438657
81.18,0.0258965,8.9530145833,263.995534336
81.2,0.0224665,27.0872340278,-251.113515625
81.24,0.012348,-27.1189138889,-250.298361304
81.26,0.03087,-9.0351916667,261.179546682
81.28,0.0180075,-3.2215798611,224.738443287
81.3,0.0142345,-0.0862263889,114.604610339
81.32,0.0162925,-0.0366819444,25.4156780478
81.34,0.0159495,-0.094325,3.7819984568
81.36,0.0104615,-0.0902756944,0.1859239969
81.38,0.011662,-0.0569284722,-0.2130516975
81.4,0.01029,-0.1040909722,-0.4006298225
81.42,0.005831,-0.0867027778,-0.0793981481
81.44,0.007203,-0.0886083333,-0.3913667052
81.46,0.0032585,-0.1198118056,0.0072781636
81.48,0.001029,-0.0981361111,0.6609895833
81.5,-0.0012005,-0.0585958333,-0.0569020062
81.52,0.000686,-0.0974215278,-0.8366579861
81.54,-0.005145,-0.1352944444,0.2051118827
81.56,-0.0066885,-0.0895611111,1.3567158565
81.58,-0.008232,-0.0576430556,1.5962336034
81.6,-0.008918,-0.0240576389,1.7222781636
81.62,-0.0090895,-0.0007145833,2.5556278935
81.64,-0.008918,0.0585958333,3.7479234182
81.66,-0.0080605,0.14791875,3.9791705247
81.68,-0.0077175,0.3899243056,-2.8626340664
81.7,0.0210945,0.0612159722,-10.1851282793
81.72,-0.003773,-0.3268027778,-4.160462963
81.74,-0.006174,-0.1252902778,3.2794743441
81.76,-0.0060025,-0.0045256944,3.046242284
81.78,-0.003087,0.0142916667,1.1697993827
81.8,-0.0053165,-0.008575,0.8204475309
81.82,-0.0053165,0.0435895833,0.9557552083
81.84,-0.0022295,0.0452569444,0.5925086806
81.86,-0.0036015,0.0524027778,0.7913348765
